wordlist,size,avg_len,median_len,avg_entropy,entropy_above,ascii,numeric,loweralpha,upperalpha,special,mixedalpha,loweralphanum,upperalphanum,mixedalphanum,specialnum,loweralphaspecial,upperalphaspecial,mixedalphaspecial,loweralphaspecialnum,upperalphaspecialnum,all
experiments_dictionaries/10-million-password-list-top-100k.txt,100007,6.82,7,29.29,55,100006,37930,43504,1003,9,1895,13634,112,1802,14,66,3,3,13,2,17
experiments_dictionaries/darkweb2017_top-10000.txt,9999,7.21,7,35.04,35,9953,780,4624,15,14,45,4308,6,90,13,84,2,1,13,1,3
experiments_dictionaries/english-6.txt,15542,5.15,5,25.17,0,15542,0,12552,182,0,2245,10,0,0,0,535,8,10,0,0,0
experiments_dictionaries/fortinet-2021_passwords-5k.txt,4988,9.83,9,58.8,892,4988,184,185,15,8,57,650,74,1412,11,50,11,85,509,122,1615
experiments_dictionaries/hashmob.net_tiny-200k.txt,281347,7.68,8,35.95,535,281347,73459,79973,1112,73,3945,103835,559,16483,381,235,7,16,536,6,727
experiments_dictionaries/ignis-100K.txt,100000,7.28,7,33.59,191,99991,24166,41517,965,44,1923,28307,189,2560,59,111,7,7,77,10,58
experiments_dictionaries/phpbb-m.txt,184344,7.54,8,36.65,485,184344,20730,76125,1711,61,4982,65844,2187,8891,191,1387,37,271,1395,48,484
experiments_dictionaries/PwnedPasswordsTop100k.txt,99870,7.37,7,34.58,387,99776,21376,31903,563,66,1039,41995,91,1081,68,1284,5,7,344,9,39
experiments_dictionaries/RockYou-960.txt,959998,8.75,8,42.37,28412,959055,157642,253093,15872,233,11085,406510,27242,25451,2919,21998,1534,3089,27803,1824,3703
experiments_dictionaries/Xato-net-100k.txt,99999,6.82,7,29.29,54,99999,37931,43501,1003,9,1895,13630,112,1802,14,65,3,2,13,2,17
